   241294236696100.19       -406197617978216.50        253130513241361.78       -103223919785357.47     
  -406197617978152.44        1200194286804143.0       -1252569016776722.0        980491217506405.50       -704686069152280.88     
   253130513241207.97       -1252569016776590.2        1623695589736884.8       -1460492922526800.8        1137780593554604.0       -842907103912644.12     
  -103223919785063.55        980491217506253.50       -1460492922526907.2        1467470846458005.2       -1227852395421207.0        943009777228121.75       -700305247002490.00     
  -704686069152067.12        1137780593554538.8       -1227852395420976.0        1100073124264919.8       -884345399236880.12        671308738405352.75       -497314433082388.94     
  -842907103912584.12        943009777227947.62       -884345399236914.12        746199390041875.62       -585740536985019.12        440817868024888.12       -325499589914959.94     
  -700305247002231.00        671308738405224.62       -585740536984837.12        477663307322135.69       -369409719867058.94        276257774620387.38       -203336285054876.78     
  -497314433082195.94        440817868024626.50       -369409719866937.62        295191049147654.12       -226123259421063.31        168305842433121.34       -123507058694148.12     
  -325499589914734.69        276257774620250.75       -226123259421006.84        178500955566265.75       -135899019203190.02        100783978783424.67       -73744555356577.344     
  -203336285054664.25        168305842432952.62       -135899019203070.05        106528901457579.17       -80794354618968.875        59744356197544.602       -43589700450260.914     
  -123507058693964.25        100783978783272.58       -80794354618916.109        63119423337586.852       -47768897914344.094        35238326708650.641       -25632941571054.980     
  -73744555356480.969        59744356197527.812       -47768897914369.695        37296070364451.008       -28202493881556.074        20761150669814.273       -15053012790766.264     
  -43589700450268.898        35238326708692.789       -28202493881575.926        22057192937239.137       -16684088016549.193        12258781632186.664       -8856186310653.9102     
  -25632941571090.664        20761150669831.520       -16684088016549.486        13098550909792.957       -9920689186715.1738        7276397944968.2793       -5235157350196.8076     
  -15053012790781.164        12258781632187.934       -9920689186715.9824        7834162256092.7969       -5946910433968.7852        4354283428244.9956       -3118047831408.6440     
  -8856186310654.1074        7276397944967.3584       -5946910433967.0781        4732871166187.0342       -3604135219736.0200        2634380647689.1768       -1876282547408.8503     
  -5235157350201.9141        4354283428250.7754       -3604135219743.6895        2896314526168.0298       -2214505678231.0854        1615831932791.7312       -1143795678433.6716     
  -3118047831417.9980        2634380647701.6333       -2214505678237.5132        1800157454435.2986       -1383056716702.4082        1007365893436.4872       -708194512006.46545     
  -1876282547421.2905        1615831932799.5808       -1383056716704.4241        1139055454912.7104       -879961349223.22192        639776823346.46094       -446393976498.52264     
  -1143795678439.2810        1007365893436.9314       -879961349222.09180        735146585067.34229       -571345431920.09363        414650164579.89990       -286991920091.39764     
  -708194512007.37671        639776823346.43018       -571345431921.17737        484566986532.99347       -378975400696.60413        274554429903.85318       -188441403853.41724     
  -446393976499.13379        414650164581.34399       -378975400696.98401        326382162644.75000       -256888570262.95416        185793456035.05286       -126445834874.85635     
  -286991920093.28058        274554429904.82016       -256888570263.62558        224601004888.73715       -177880243161.36804        128449338340.98547       -86696873168.352341     
  -188441403854.93472        185793456036.50687       -177880243162.32523        157775988153.70212       -125694114952.14851        90635972172.121368       -60692125414.956322     
