  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
   228580795938069.81        63972566495931.617       -6335775065012.8701       -1808573027039.5020        304492500432.39911     
  -234431701653047.47       -35472877370668.500        11264652912053.670       -2503048093573.7812       -512793757986.73828        99448187504.952103     
   204411304258912.88        26442039769247.805       -3285747009207.8921        3781026315439.7539       -1157245488968.3086       -128237606138.94623        26943247891.728394     
  -19676232959481.879        2169755460333.5376       -854451670762.01135        1473685660027.7192       -560004330927.82495       -24595310119.218002        5676603606.8191986     
  -1521486395750.8325        552630472924.89294       -274083793983.69620        623389927256.32654       -278198515753.68274        381786768.32716274        280105801.70687902     
  -383640759699.82825        177319729535.94516       -90975960873.251877        279237177588.36481       -142266723452.74301        4739245045.8668652       -759898353.15989697     
  -122589416411.76074        58656501243.079033       -27610806001.643654        131380093803.59233       -75142361268.385391        4302988707.0174513       -757547661.61811137     
  -39974770149.435982        17496191054.150402       -5906500788.8351831        64663126914.198448       -41044843262.337234        3139076929.4999771       -578122165.92275167     
  -11443757729.595043        3495011804.6948490        929066814.89466310        33188533136.782654       -23176012432.382309        2152867102.7564363       -415473067.98833233     
  -1895736841.8255589       -823656823.79728591        2572403554.1624846        17710620230.087227       -13506895359.561766        1453564170.5840778       -296247990.51045948     
   932711027.46146858       -1795496840.5715895        2532683134.9548874        9797288134.8919449       -8107181694.7121964        983034153.36791968       -212765456.89922792     
   1480021717.6950920       -1707505211.6182129        2053580138.2258573        5601700769.4587831       -4999510869.0019751        670450358.32980478       -154364963.73151755     
   1333178165.6995692       -1360003695.1456225        1547945843.1643853        3300811297.1997433       -3159813564.0007548        462241433.92583168       -113040236.57050428     
   1036956776.8891131       -1012075099.9992888        1130432473.4797852        1998994278.7617221       -2041991995.0354636        322325820.59417933       -83422068.673252985     
   760924872.29170978       -731326381.45482099        814669545.77663910        1241015393.4406300       -1346384043.5716650        227260359.25412068       -61962793.195024185     
   544541861.57453537       -522185862.34397751        584840695.08004284        787947718.34237885       -903990291.03670251        161922494.41708604       -46281673.124007218     
   385966738.44393879       -371749383.17359084        420364838.40930706        510566387.79209840       -617007259.62479770        116510891.36217959       -34745213.849796787     
   273147677.72312844       -265163637.31849650        303377341.69096702        336992277.55592257       -427453144.19461876        84611472.083867058       -26210173.335366059     
   193863365.95666105       -190021605.81848204        220186777.42542660        226188833.48062178       -300177305.15879428        61978707.039638430       -19864247.326960407     
   138329208.58177063       -137015366.28580871        160845457.12669095        154155959.49809593       -213425994.89177376        45769411.698200218       -15124011.715426562     
