   1.7824920379203350E+017  -37591612526780536.       -42982371403892544.        1496498237859726.2     
  -37591612526780456.        72899905437907664.       -1180354552040762.5       -12879091452855086.        1041639703933211.4     
  -42982371403892552.       -1180354552040741.0        21948844199663420.       -1057918143697321.6       -3858912667733229.5        311935599797205.75     
   1496498237859699.8       -12879091452855134.       -1057918143697303.1        6995466441129082.0       -439173713371778.88       -1373169055894148.2        121532047827790.16     
   1041639703933197.5       -3858912667733231.5       -439173713371780.06        2535433347595996.0       -186461693066420.28       -549069794652926.12        52885171596197.258     
   311935599797198.12       -1373169055894144.2       -186461693066422.50        1023908441612951.5       -84183847327134.469       -240722847198864.91        24864840354858.250     
   121532047827793.44       -549069794652921.94       -84183847327135.938        451969296413998.00       -40425674882100.445       -113797083955135.77        12440789112965.537     
   52885171596197.930       -240722847198865.44       -40425674882099.969        214785707659684.91       -20527311796801.164       -57288585387958.195        6559783200306.2422     
   24864840354858.367       -113797083955135.89       -20527311796800.703        108595132980513.11       -10950055905674.895       -30420263202342.305        3618797496006.5015     
   12440789112965.178       -57288585387958.094       -10950055905674.598        57873685820900.992       -6099728930078.8691       -16909422759529.090        2076711619844.3135     
   6559783200305.9551       -30420263202342.348       -6099728930078.6445        32269922747843.148       -3529877897044.9863       -9779691056526.7871        1233899873373.0432     
   3618797496006.5615       -16909422759529.105       -3529877897044.9678        18713836079966.434       -2112720869991.7410       -5855977386106.0879        756081260991.34631     
   2076711619844.2585       -9779691056526.7441       -2112720869991.7122        11231907953785.012       -1302947167455.0352       -3615548303292.8301        476211665379.17609     
   1233899873373.0847       -5855977386106.1416       -1302947167455.0291        6948902102432.8740       -825328281273.73389       -2293852870262.5288        307429737091.69794     
   756081260991.34216       -3615548303292.8101       -825328281273.73767        4416578589435.3467       -535497083416.75073       -1491153770659.4521        202932351159.90582     
   476211665379.18433       -2293852870262.5420       -535497083416.74890        2875593965536.4297       -355058820039.71118       -990787658711.29932        136680053896.74933     
   307429737091.70593       -1491153770659.4556       -355058820039.70801        1913331004411.0369       -240091672036.37506       -671471542070.77271        93759609274.735428     
   202932351159.90002       -990787658711.29810       -240091672036.36905        1298292089745.1125       -165281198605.95648       -463314125162.95105        65402099634.469055     
   136680053896.74529       -671471542070.77283       -165281198605.95346        896800843182.59668       -115656952344.51736       -324967101144.75848        46326096282.930122     
   93759609274.733139       -463314125162.95221       -115656952344.51668        629627899258.87134       -82155280573.534775       -231376956695.15692        33279918015.324806     
   65402099634.467140       -324967101144.75793       -82155280573.535431        448687560674.36877       -59169365858.957443       -167028584366.49994        24220702420.070805     
   46326096282.927818       -231376956695.15536       -59169365858.957497        324156802839.81525       -43161529936.653015       -122119702154.11551        17840903695.533073     
   33279918015.324955       -167028584366.49866       -43161529936.652702        237168217368.45804       -31858562565.149284       -90342318179.047791        13289091304.283865     
   24220702420.070248       -122119702154.11548       -31858562565.148361        175565271596.19360       -23774921525.654007       -67567557338.461800        10001926827.524349     
   17840903695.533176       -90342318179.047913       -23774921525.653896        131382057599.23637       -17924502019.351391       -51050040472.528824        7601118079.9840326     
   13289091304.283564       -67567557338.461807       -17924502019.351421        99316480056.410126       -13643136614.794235       -38937453417.926338        5829102622.6604490     
   10001926827.524500       -51050040472.528687       -13643136614.794359        75787880548.712967       -10477385081.613468       -29962929628.351627        4508241935.9831886     
   7601118079.9841976       -38937453417.926834       -10477385081.613134        58345234505.582260       -8113728426.2404413       -23248949288.093754        3514533264.2623210     
   5829102622.6606264       -29962929628.351448       -8113728426.2404222        45289471397.037415       -6332805945.7628946       -18180424914.545620        2760430207.9292512     
   4508241935.9827871       -23248949288.093929       -6332805945.7628736        35428796779.127457       -4979419339.9962597       -14321394993.232374        2183464334.2516818     
   3514533264.2624621       -18180424914.545582       -4979419339.9963064        27917936186.280788       -3942610620.9446535       -11359613095.510475        1738613438.5259893     
   2760430207.9292417       -14321394993.232445       -3942610620.9446507        22151116745.648159       -3142265674.8549442       -9069230567.7826500        1393121718.5415845     
   2183464334.2515907       -11359613095.510336       -3142265674.8549237        17689936582.227890       -2520000197.9529905       -7285369000.4852962        1122944591.9587197     
   1738613438.5260327       -9069230567.7826843       -2520000197.9530315        14214179702.159975       -2032890471.7909117       -5886602219.6505985        910282708.67869329     
   1393121718.5415664       -7285369000.4852295       -2032890471.7909050        11487907316.436552       -1649115917.7733436       -4782761239.1907291        741854302.04826641     
   1122944591.9587443       -5886602219.6506519       -1649115917.7732904        9335837530.3660259       -1344900490.0443890       -3906360813.6045189        607673312.41138291     
   910282708.67869139       -4782761239.1907101       -1344900490.0443754        7626729825.8415079       -1102345646.3119173       -3206515651.2542424        500177437.10726368     
   741854302.04822135       -3906360813.6045299       -1102345646.3118887        6261588075.2618742       -907881361.17962277       -2644584995.0578861        413600569.45968115     
   607673312.41138899       -3206515651.2542334       -907881361.17962182        5165210673.5475454       -751149562.12137592       -2191028270.0797815        343517457.53912234     
   500177437.10724872       -2644584995.0578890       -751149562.12136889        4280087321.6385584       -624192810.56907618       -1823116864.1732924        286510763.14086491     
   413600569.45968664       -2191028270.0797896       -624192810.56907654        3561955576.8629451       -520860269.14820313       -1523256231.8970850        239925822.38242528     
   343517457.53912163       -1823116864.1733036       -520860269.14820683        2976541216.8857598       -436369592.68564421       -1277746591.7364414        201688735.49731967     
   286510763.14086598       -1523256231.8970766       -436369592.68564010        2497149707.9316969       -366981565.12985498       -1075861221.1002400        170170524.13978848     
   239925822.38242441       -1277746591.7364480       -366981565.12984717        2102874249.6435921       -309756860.73261940       -909156416.12652016        144085037.93197241     
   201688735.49731469       -1075861221.1002352       -309756860.73262030        1777253750.6043687       -262373044.73783553       -770951615.41755152        122411753.94547771     
   170170524.13978592       -909156416.12652218       -262373044.73783430        1507261419.8897936       -222986055.94325128       -655935351.58106029        104337055.13200253     
   144085037.93197596       -770951615.41755342       -222986055.94325289        1282537915.8432875       -190124747.22252607       -559864839.77264559        89209312.619686231     
   122411753.94547343       -655935351.58105707       -190124747.22252482        1094806553.2507234       -162610145.07458130       -479335677.74183685        76504340.195348039     
   104337055.13200070       -559864839.77264762       -162610145.07457957        937424868.03559530       -139493302.27832881       -411604349.83351827        65798687.969437517     
   89209312.619685605       -479335677.74183530       -139493302.27832913        805038912.61385643       -120007214.99956967       -354450725.89993978        56748892.762275152     
   76504340.195348218       -411604349.83351856       -120007214.99957001        693315382.79159391       -103529436.79304655       -306071017.28719878        49075279.017901756     
   65798687.969437592       -354450725.89994019       -103529436.79304625        598733030.89372206       -89552871.175445274       -264994047.56813031        42549253.810133927     
   56748892.762275122       -306071017.28719825       -89552871.175446466        518419475.41608459       -77662848.494341850       -230015460.88116544        36983297.572012901     
   49075279.017901443       -264994047.56812996       -77662848.494341761        450022944.07507372       -67519055.480614528       -200145797.08586672        32223044.871080633     
   42549253.810133860       -230015460.88116759       -67519055.480614513        391611029.93506175       -58841229.178763784       -174569337.14748383        28140992.603439439     
   36983297.572012849       -200145797.08586696       -58841229.178764910        341590432.26891243       -51397784.534972489       -152611351.13770893        24631481.330096927     
   32223044.871080518       -174569337.14748368       -51397784.534972899        298643072.75092721       -44996738.021760873       -133711930.24696496        21606676.442013726     
   28140992.603439894       -152611351.13770992       -44996738.021760859        261675045.33293182       -39478435.882548749       -117404999.26915535        18993338.105977535     
   24631481.330097076       -133711930.24696474       -39478435.882549584        229775665.97176668       -34709706.682805181       -103301422.00650699        16730215.729313709     
   21606676.442013916       -117404999.26915544       -34709706.682805762        202184503.20143482       -30579142.068725172       -91075352.735379860        14765938.770281991     
   18993338.105978202       -103301422.00650711       -30579142.068725482        178264739.39509618       -26993275.051652066       -80453171.954205438        13057303.694241380     
   16730215.729313891       -91075352.735379502       -26993275.051652189        157481573.06511256       -23873474.566871837       -71204487.178566933        11567878.018174006     
   14765938.770282006       -80453171.954205289       -23873474.566871274        139384649.73647264       -21153413.884994116       -63134789.599162869        10266859.143477896     
   13057303.694241783       -71204487.178567186       -21153413.884994213        123593723.67269857       -18777000.259213373       -56079443.070551515        9128138.6316014417     
   11567878.018173493       -63134789.599162571       -18777000.259213954        109786919.80212748       -16696676.709866907       -49898748.826063052        8129532.6305718934     
   10266859.143477898       -56079443.070551559       -16696676.709867392        97691094.970474347       -14872024.755767660       -44473881.337499127        7252147.1037952043     
   9128138.6316017620       -49898748.826062694       -14872024.755767746        87073899.809001416       -13268611.589434076       -39703532.055323027        6479852.7896929309     
   8129532.6305719763       -44473881.337499350       -13268611.589434134        77737222.440182045       -11857036.153231686       -35501129.937781326        5798849.7117371820     
   7252147.1037948458       -39703532.055322535       -11857036.153231747        69511758.433318391       -10612137.747783724       -31792533.479585826        5197305.0592159182     
   6479852.7896931507       -35501129.937781312       -10612137.747783698        62252501.436067022       -9512337.6830282081       -28514109.223733980        4665051.2354893014     
   5798849.7117373003       -31792533.479585879       -9512337.6830281299        55834988.524931878       -8539090.2130955271       -25611127.919497270        4193333.4808829403     
   5197305.0592160430       -28514109.223733909       -8539090.2130956724        50152166.010320075       -7676423.4821774652       -23036422.517287366        3774598.4154339312     
   4665051.2354894243       -25611127.919497345       -7676423.4821774745        45111766.682974376       -6910554.7850104906       -20749262.545293432        3402316.4370672251     
   4193333.4808830651       -23036422.517287362       -6910554.7850105213        40634109.744900860       -6229567.3476132732       -18714407.748277567        3070832.2125520157     
   3774598.4154337952       -20749262.545293383       -6229567.3476131251        36650250.975986198       -5623138.1586601576       -16901310.620226003        2775238.5246429946     
   3402316.4370672414       -18714407.748277698       -5623138.1586600114        33100423.820390869       -5082308.2943238001       -15283442.909191864        2511269.6189023210     
   3070832.2125518988       -16901310.620225929       -5082308.2943237750        29932722.728244770       -4599288.6564059332       -13837725.597858571        2275210.8142053871     
   2775238.5246430133       -15283442.909191899       -4599288.6564059714        27101988.681996711       -4167295.3252836061       -12544045.418084867        2063821.7504868896     
   2511269.6189023373       -13837725.597858550       -4167295.3252836219        24568863.872339055       -3780409.7226953278       -11384843.935347944        1874271.0886414321     
   2275210.8142053839       -12544045.418084865       -3780409.7226952258        22298988.200634565       -3433459.6023102524       -10344767.602686513        1704080.8322620029     
   2063821.7504868715       -11384843.935347933       -3433459.6023101415        20262314.951942440       -3121917.5657131742       -9410369.1494622976        1551078.7689199888     
   1874271.0886413157       -10344767.602686450       -3121917.5657130172        18432526.821961995       -2841814.3564903773       -8569852.2883436270        1413357.7677018824     
   1704080.8322619777       -9410369.1494623106       -2841814.3564903266        16786536.629152015       -2589664.6471744291       -7812853.0499865748        1289240.8831456348     
   1551078.7689199534       -8569852.2883435898       -2589664.6471744608        15304059.642470900       -2362403.3915297762       -7130252.1478491910        1177251.3773015484     
   1413357.7677019008       -7812853.0499865916       -2362403.3915298241        13967246.562700460       -2157331.1466271216       -6514013.6799482610        1076086.9295472207     
   1289240.8831456550       -7130252.1478492050       -2157331.1466271388        12760368.017336356       -1972067.0186879055       -5957046.2332769362        984597.40315925586     
   1177251.3773015831       -6514013.6799482610       -1972067.0186879206        11669542.853930069       -1804508.0974152333       -5453083.0717510879        901765.65168708749     
   1076086.9295472514       -5957046.2332768785       -1804508.0974153101        10682503.756733099       -1652794.4289446247       -4996578.6176298326        826690.92143435765     
   984597.40315925935       -5453083.0717511233       -1652794.4289446380        9788394.7264470886       -1515278.7158217607       -4582618.8632426262        758574.46987785364     
   901765.65168714221       -4996578.6176297944       -1515278.7158217921        8977595.7993999310       -1390500.0713062391       -4206843.7130464902        696707.09501817951     
   826690.92143433308       -4582618.8632426728       -1390500.0713062314        8241571.1112052156       -1277161.2452022468       -3865379.5667344467        640458.29491457774     
   758574.46987786447       -4206843.7130464828       -1277161.2452022445        7572736.9844620796       -1174108.8337282448       -3554780.7001022515        589266.83824456169     
   696707.09501813608       -3865379.5667344155       -1174108.8337282294        6964347.2282116618       -1080316.0547853140       -3271978.2228332995        542632.54391595686     
   640458.29491457774       -3554780.7001022543       -1080316.0547852980        6410393.2565966584       -994867.73593082034       -3014235.5653650248        500109.10819995950     
   589266.83824457030       -3271978.2228332888       -994867.73593082803        5905516.9829057120       -916947.21116954810       -2779109.6068479586        461297.83547138964     
   542632.54391596094       -3014235.5653650244       -916947.21116953797        5444934.7484127423       -845824.86812986410       -2564416.6807607193        425842.15243608959     
   500109.10819996591       -2779109.6068479610       -845824.86812986468        5024370.7965297932       -780848.12426195317       -2368202.8067266415        393422.79990384186     
   461297.83547136886       -2564416.6807606956       -780848.12426195666        4639999.0105902338       -721432.63904635853       -2188717.5862237732        363753.61272588145     
   425842.15243609669       -2368202.8067266317       -721432.63904636796        4288391.8227481609       -667054.60453470598       -2024391.2811106790        336577.81365052424     
   393422.79990385118       -2188717.5862237676       -667054.60453469190        3966475.3549588798       -617243.96934235201       -1873814.6637920451        311664.75128579029     
   363753.61272588832       -2024391.2811106869       -617243.96934232814        3671489.9756392012       -571578.47649277782       -1735721.2778913160        288807.02716884878     
