# x,y,z,sp,vx,vy,vz,m
1.154650503968649211e+00,6.510384953596942026e+00,3.604034983742255616e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.152977436073808759e+00,1.998690406732164471e+00,1.801053441173018799e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.609910734231626783e+00,2.256705402068956090e+00,3.605564439844475277e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.610264819900405264e+00,6.254018943798681285e+00,1.801981398205602547e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.478464395516970176e-01,4.255569884852077323e+00,5.721389607733607481e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.604794444929894315e+00,7.060003151657506240e-04,1.106966674153305255e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.676488835740582717e+00,7.888807734662799831e+00,4.244788568636436388e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.675673938349784953e+00,6.201372455899358815e-01,1.161340799910756116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.132593868532665304e+00,3.633566389067557356e+00,4.245587702522247930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.157904981494309649e+00,6.017355314398845856e+00,2.443405970894235946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
