#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
 0.0047982             0            0             0
  0.014395             0            0             0
  0.023991             0            0             0
  0.033588             0            0             0
  0.043184             0            0             0
  0.052781             0            0             0
  0.062377             0            0             0
  0.071974             0            0             0
   0.08157             0            0             0
  0.091167             0            0             0
   0.10076             0            0             0
   0.11036             0            0             0
   0.11996             0            0             0
   0.12955             0            0             0
   0.13915             0            0             0
   0.14875             0            0             0
   0.15834             0            0             0
   0.16794             0            0             0
   0.17753             0            0             0
   0.18713             0            0             0
   0.19673             0            0             0
   0.20632             0            0             0
   0.21592             0            0             0
   0.22552             0            0             0
   0.23511             0            0             0
   0.24471             0            0             0
   0.25431             0            0             0
    0.2639             0            0             0
    0.2735             0            0             0
    0.2831             0            0             0
   0.29269             0            0             0
   0.30229             0            0             0
   0.31189             0            0             0
   0.32148             0            0             0
   0.33108             0            0             0
   0.34068             0            0             0
   0.35027             0            0             0
   0.35987             0            0             0
   0.36946             0            0             0
   0.37906             0            0             0
   0.38866             0            0             0
   0.39825             0            0             0
   0.40785             0            0             0
   0.41745             0            0             0
   0.42704             0            0             0
   0.43664             0            0             0
   0.44624             0            0             0
   0.45583             0            0             0
   0.46543             0            0             0
   0.47503             0            0             0
   0.48462             0            0             0
   0.49422             0            0             0
   0.50382             0            0             0
   0.51341             0            0             0
   0.52301             0            0             0
    0.5326             0            0             0
    0.5422             0            0             0
    0.5518             0            0             0
   0.56139             0            0             0
   0.57099             0            0             0
   0.58059             0            0             0
   0.59018             0            0             0
   0.59978             0            0             0
   0.60938             0            0             0
   0.61897             0            0             0
   0.62857             0            0             0
   0.63817             0            0             0
   0.64776             0            0             0
   0.65736             0            0             0
   0.66696             0            0             0
   0.67655             0            0             0
   0.68615             0            0             0
   0.69575             0            0             0
   0.70534             0            0             0
   0.71494             0            0             0
   0.72453             0            0             0
   0.73413             0            0             0
   0.74373             0            0             0
   0.75332             0            0             0
   0.76292             0            0             0
   0.77252             0            0             0
   0.78211             0            0             0
   0.79171             0            0             0
   0.80131             0            0             0
    0.8109             0            0             0
    0.8205             0            0             0
    0.8301             0            0             0
   0.83969             0            0             0
   0.84929             0            0             0
   0.85889             0            0             0
   0.86848             0            0             0
   0.87808             0            0             0
   0.88767             0            0             0
   0.89727             0            0             0
   0.90687             0            0             0
   0.91646             0            0             0
   0.92606             0            0             0
   0.93566             0            0             0
   0.94525             0            0             0
   0.95485             0            0             0
   0.96445             0            0             0
   0.97404             0            0             0
   0.98364             0            0             0
   0.99324             0            0             0
    1.0028             0            0             0
    1.0124             0            0             0
     1.022             0            0             0
    1.0316             0            0             0
    1.0412             0            0             0
    1.0508             0            0             0
    1.0604             0            0             0
      1.07             0            0             0
    1.0796             0            0             0
    1.0892             0            0   0.009643812
    1.0988             0  0.002360799             0
    1.1084   0.002324131  0.002320096             0
     1.118             0  0.004560875             0
    1.1276   0.002245686  0.006725361             0
    1.1372             0  0.006612332    0.02654149
    1.1468   0.008684583  0.004334753    0.01739943
    1.1564    0.00213526  0.006394658   0.008555919
     1.166    0.01050128   0.00209661    0.02524698
    1.1756    0.00619832    0.0103126   0.008278824
    1.1852    0.02236061  0.004058508   0.008145298
    1.1948    0.01200156   0.01198072   0.008014976
    1.2044   0.007874039  0.007860369             0
     1.214    0.01550008    0.0251439    0.03881771
    1.2236    0.04577369   0.02094319    0.05349568
    1.2331     0.0413087   0.03186494    0.01504752
    1.2427    0.04437076   0.06090387    0.00740801
    1.2523    0.08192504   0.04906969     0.0583593
    1.2619     0.1255081    0.1324496     0.1796096
    1.2715     0.2013253    0.1339838     0.1910615
    1.2811     0.2296343    0.2257623     0.1672977
    1.2907     0.3067848    0.3541575     0.3296385
    1.3003      0.565707    0.5326957     0.6495819
    1.3099     0.8652934    0.9152864     0.6734376
    1.3195      1.229932     1.211427       1.16965
    1.3291      1.878157     1.845854      1.716278
    1.3387      2.698923     2.258451      2.623825
    1.3483      3.383129     3.113848      3.669081
