# x,y,z,sp,vx,vy,vz,m
2.252230340418081678e+00,3.114616113904648653e+00,6.118690683678734921e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.248010122481886697e+00,2.444941305956134237e+00,1.972899942883425961e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
-1.573817460006055713e+00,5.496273301686597001e+00,-4.800001966722311053e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
4.322590547288418072e+00,3.075177193662561148e+00,-5.052622305935074998e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
-3.322102757639338488e+00,9.430763703210489624e+00,-3.001275246301773780e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.246034126355574756e+01,-1.033743321022518313e-01,-4.790755996689868290e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
5.883325069110388661e+00,1.291515522765494062e+01,-2.039210408259715557e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-2.737726080540780149e+00,-1.453324779415009926e+00,1.569121639674640800e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.651123618412123850e+00,6.722511601292410433e+00,8.894384640446014956e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-4.287418831682638043e+00,6.113239720840042857e+00,-9.446534581350300996e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.462331424329588625e+00,2.190379873974655833e+00,5.988120890690257214e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-4.731461354851608903e+00,7.881081457115225453e-01,-7.225685676286583536e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-3.808672030620015470e+00,1.336243266981603028e+01,-3.015783293620827532e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.172494192654635015e+01,-3.643629928456018963e+00,-7.355719533362834461e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
7.334418670534168960e+00,2.318900720110809388e+01,-4.294979126893074373e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-5.785324126307116899e+00,9.002191237748807140e+00,5.976808444278196575e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.060746641603302187e+01,-1.437375804338416385e+00,-3.653493154441363355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.134077726416690801e+00,6.107678639222396733e+00,-1.030068227767540145e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.133763334502564391e+00,-1.325738782409403016e-01,-5.846550100971734665e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.117887490330259048e+01,3.279349677078101433e+00,-6.384174022432372197e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
9.364572032705721583e+00,-5.514483734861860498e+00,-1.763661989292991805e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.245709721140364046e+00,2.660266271834974106e+00,7.889370114008597668e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
4.372492413813835022e+00,-4.953886237037766760e-01,3.131920297358814942e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
9.033682874097472393e+00,-7.609011087773176918e+00,8.200108401128106905e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
-5.580706101818639908e+00,1.328670368932993950e+00,7.986217777287309083e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.339198322078404502e+00,9.302756545689618850e-01,-2.274378187575381571e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.127071706819557484e+00,6.513945392952685154e+00,-1.341856693430061931e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.966366546329000986e-01,6.231739515643750060e+00,1.408172067712352238e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
5.932361545622351073e+00,-1.796205432626499232e-02,7.559160720382616105e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.766151893159515929e+00,-2.470673447775902365e-01,5.132807178555448324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
5.168090109487882833e-01,7.082365805785147295e+00,1.707169763088592518e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-8.737229324330811897e-01,5.667763961326150124e+00,1.147203614365787772e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
5.072177404629827357e+00,1.483797212972526225e+01,-3.525236270925367510e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-3.518001824552041690e+00,1.869054641040884235e+01,1.043963865929263868e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
6.739748191343371886e+00,5.164273087654787986e+00,-1.434891411839525865e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-5.853945340437920031e+00,1.046566506516489703e+01,8.337530796428064050e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
6.976458004663195211e+00,-2.892068078222301164e+00,-4.047716938728116887e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.625328561687667595e-01,2.175482943475386399e+00,-6.311259849404784461e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
6.387777283992294386e+00,-8.351769404270159569e+00,-1.460662692095015736e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.011825272268593068e+01,-2.653818015381969264e+00,-3.004427770154637134e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
-2.077296340429302113e+00,-1.254132527746661552e+01,-1.177007113701638374e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
4.087518008793596280e+00,-2.934118018061918409e+00,1.122678128501428141e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
6.408773817450119648e-01,-4.757260660872597136e+00,-5.495484029413060689e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
