# x,y,z,sp,vx,vy,vz,m
7.810244661782528297e-01,3.210527383984595584e+00,5.737439360085041962e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.467375320980872200e+00,5.605376824650276646e-01,4.839205201107247944e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.007944303113534001e+00,3.060109795117590181e+00,-3.880197470460260867e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
9.557630106598503650e-01,-7.732755751836981606e-01,-7.284916419651887409e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
-3.074902678013534452e+00,8.610113737234993181e+00,-1.282883695138108182e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.147208423807503053e+01,-1.625315956171774712e+00,-2.731560761171803797e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.926033758401153761e+00,1.026286501358508652e+01,2.847691121976774209e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-1.517968488938865601e+00,4.116219221848288479e-01,-1.766660447704726244e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
6.458897098517040192e+00,7.817594483719134679e+00,6.050202058458925336e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-3.730894989398540584e+00,5.499509465786496243e+00,-8.831035070958147770e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.817372834171610663e+00,5.337505784434492639e+00,-2.174810680875551405e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-2.940075101275549052e+00,5.983112269699234709e+00,-4.883695290758106822e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-1.302005084773009802e+00,1.192651944225190697e+01,-5.952305077742608752e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.018769940675311148e+01,-6.530218081496514060e+00,-2.113379521064270072e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
8.818555412024652540e+00,1.709359607282384275e+01,-6.647267391572534656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
-6.529822142371378035e+00,1.166109032338708218e+01,4.679250289047818256e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.058727421957067882e+01,4.616891588384928191e+00,-6.316268634432399942e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.568450651348452629e+00,7.328256672174644493e+00,-1.137223162210975635e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
5.511372176486812435e+00,-1.774323661400370566e+00,5.975446802367939014e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
9.879484678961244271e+00,3.834090348205808407e+00,-1.683111031689038528e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
6.176906039334139287e+00,-7.840306269291962948e+00,1.866803324428886413e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.787425533218299112e+00,8.454892173681756162e+00,1.230618794809868355e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
