18
4.9134, 8.51025844, 5.4052
1,       1.1544,      6.5108,      3.6035
1,       1.1544,      1.9995,      1.8017
1,       3.6111,      2.2556,      3.6035
1,       3.6111,      6.2546,      1.8017
1,       0.1479,      4.2551,      0.0000
1,       2.6046,      0.0000,      0.0000
0,       1.6760,      7.8890,      4.2452
0,       1.6760,      0.6212,      1.1600
0,       4.1327,      3.6339,      4.2452
0,       2.1567,      6.0172,      2.4435
0,       1.0807,      3.1143,      0.6418
0,       4.1327,      4.8764,      1.1600
0,       1.0807,      5.3959,     -0.6418
0,       2.1567,      2.4931,      2.9617
0,       3.5374,      7.3695,      0.6418
0,       4.6134,      6.7482,      2.9617
0,       4.6134,      1.7620,      2.4435
0,       3.5374,      1.1408,     -0.6418
