# x,y,z,sp,vx,vy,vz,m
1.153907602452910020e+00,6.510825687367383985e+00,3.603481148611645146e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.155866101690521175e+00,2.000302454408322550e+00,1.800349649618753212e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.612049680596535417e+00,2.256077298235783068e+00,3.602176480955778803e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.611865556262065624e+00,6.253916219095238205e+00,1.800886363054813977e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.474358337891729098e-01,4.255442651773590157e+00,-1.204813904220332181e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.604872055574659395e+00,1.798385886764479827e-04,-5.683533596278866722e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.677276063603222678e+00,7.887444289139752485e+00,4.244566335298785908e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.676283610725962880e+00,6.199034000587145821e-01,1.159827966711882707e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.131618578571183420e+00,3.632823055660028277e+00,4.247011421151257515e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.157521698995231940e+00,6.016305208663114357e+00,2.443468247260133452e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.080674651209274639e+00,3.115438970858979584e+00,6.420482625166255009e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.134155114288596167e+00,4.875449631670463191e+00,1.159433122950518591e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.079266120619705172e+00,5.396523331507852461e+00,-6.411382164969783304e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.158671284003391477e+00,2.491526986242133646e+00,2.961796501703453099e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.538699573484408667e+00,7.368974319201882395e+00,6.427834061144995781e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.614948145808504876e+00,6.749666162504151856e+00,2.962466247070537406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.614704763038606217e+00,1.761953099049575311e+00,2.443463438450165448e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
