# x,y,z,sp,vx,vy,vz,m
1.141959997826092588e+00,6.478369671174037947e+00,3.601771216050639879e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.155946889390166321e+00,1.955108586763939504e+00,1.801871995407050120e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.627448820540275509e+00,2.249935383246446374e+00,3.584572681311508191e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.606548214364369009e+00,6.269617493202742864e+00,1.798128902389193318e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.297120136965695669e-01,4.262705381776727975e+00,-8.512261402416807475e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.596867763220640946e+00,1.130137859796292478e-02,-1.033455261405632174e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.699107846136673539e+00,7.905185814822745627e+00,4.265225244552833139e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.679595289325789054e+00,6.527735201905128237e-01,1.176317859477406857e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.131222775087874055e+00,3.617400725395266914e+00,4.253405850526469578e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.161785942150185935e+00,6.021605134658754466e+00,2.451607888739272489e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.086929191350321178e+00,3.117112731016415950e+00,6.392493997776733661e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.128121316185819012e+00,4.863409060757458491e+00,1.163606579510418237e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.088909564926342721e+00,5.408224765846968651e+00,-6.405514163358935198e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.168872433220073948e+00,2.516122743585623933e+00,2.983753872099165427e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.532243186324083517e+00,7.372645195777776550e+00,6.466296066498382622e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.602454731044550940e+00,6.699472028953585401e+00,2.972582460968837381e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.626703424631501527e+00,1.743392216637822845e+00,2.439549406655604713e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.516720082765108835e+00,1.150939770926342920e+00,-6.582475110174783595e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.159728126779029811e+00,6.504206121268881979e+00,8.986505593485681231e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.159473172852171441e+00,2.006280611749307941e+00,7.217779260219832516e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.633885995056861162e+00,2.271764156206571350e+00,9.001879256665468176e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.618243063900389522e+00,6.261997210264191871e+00,7.200450559169786935e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.334079861853399718e-01,4.231808662523458331e+00,5.413712482037007945e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
