# x,y,z,sp,vx,vy,vz,m
1.146501933886727498e+00,6.519480941813750263e+00,3.563102214636930221e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.140046072349550021e+00,2.001647979455093207e+00,1.798730265713480492e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.574421239143071194e+00,2.288747173944961411e+00,3.635284578357087515e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.591240666518979108e+00,6.230261211064898497e+00,1.809984659001575125e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.420664887563975742e-01,4.286889426765013056e+00,-5.116396456747989568e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.631409527238652846e+00,2.133281941909042148e-02,-4.575473848925652037e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.667663148452475985e+00,7.899180495957360826e+00,4.251851937281895033e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.639120446583339330e+00,6.195354621911304260e-01,1.121583164973429358e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.119340841658602592e+00,3.618937201251314129e+00,4.246433545950568877e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.173707355393455831e+00,6.032292600432389129e+00,2.462518668301221680e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.054374445525483761e+00,3.123303308906856035e+00,6.415708779256261707e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.174840944760808803e+00,4.876104485670743394e+00,1.137126517088044020e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.074267681412917952e+00,5.416894873968215229e+00,-6.549291630593399027e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.132125481626113483e+00,2.475533459817364168e+00,2.934828835803289238e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.531938294503456088e+00,7.351120194666893148e+00,6.559694403287420483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.600878678711766590e+00,6.681940767804207759e+00,2.957512807275195943e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.606569818622332946e+00,1.744944674338268609e+00,2.461926787479681522e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.505877097192982461e+00,1.166602704024430004e+00,-6.357425507175826773e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.143324656490013913e+00,6.527843495688874675e+00,8.977891546110493337e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.172167543188143091e+00,2.030817364374076117e+00,7.208576151209610927e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.604086106684128321e+00,2.266964860179116581e+00,9.035916182452252698e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.652761904269421489e+00,6.257593603651948833e+00,7.165823286181375096e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.424651547349234104e-01,4.237177225171699035e+00,5.409524186458045669e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.595822315935650604e+00,-3.268102016358927914e-02,5.360978575690079850e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.700387483055257221e+00,7.886829612330791939e+00,9.648563861626367810e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.664506366390263725e+00,6.061673503833634458e-01,6.511740739321056459e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.174125606261599231e+00,3.638819622225444306e+00,9.671916636090518438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.148913027744208115e+00,6.000395780896894848e+00,7.856727966968070298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.115607534711618110e+00,3.134783113472745963e+00,6.072652390780597820e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.102710115137484514e+00,4.869499510373175077e+00,6.569768430700768214e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.100600840901986066e+00,5.457536744610788304e+00,4.773119846156442136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.196224523819672925e+00,2.513209264550903654e+00,8.357929222765955402e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.566988518734199864e+00,7.396424852426310537e+00,6.005148031920057861e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.627918063876546917e+00,6.756116952384732421e+00,8.364666726180319145e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.633672111848732733e+00,1.764975762150490013e+00,7.895540237543224649e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.540323422344632043e+00,1.141486736013646919e+00,4.769262733846309388e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.155519326133714220e+00,6.504323326621546109e+00,-7.200388202348955602e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.169076760884092847e+00,2.003205613019863662e+00,-9.024455249488848807e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.596101812857704250e+00,2.259488369980364286e+00,-7.211371580893366051e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.609194775924648990e+00,6.239447610021479740e+00,-9.019395780735248280e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.571760914776561269e-01,4.253462547805406224e+00,-1.085057311642278322e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.636263663798138257e+00,-1.356149616011236535e-02,-1.084439097763528181e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.658523101207358907e+00,7.901004288525216523e+00,-6.571867727882962917e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.687870158058615733e+00,6.061817284712419651e-01,-9.695846208432943314e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.163131406977030657e+00,3.600591408189977027e+00,-6.572992306240659666e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.132589203499524189e+00,5.984255860556134010e+00,-8.420741433064755199e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.077728528564618538e+00,3.090817022368493205e+00,-1.017757528552205493e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.106777417539904107e+00,4.881178849552131993e+00,-9.638663460875729783e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.067293486740747088e+00,5.343103917682303639e+00,1.013984665561727283e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.166473720704037653e+00,2.497707894541658202e+00,-7.818737480950189500e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.489225808263725970e+00,7.353457720894830629e+00,-1.018498866257174029e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.593183312055726830e+00,6.776683620476085856e+00,-7.864476610737924922e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.610618739603381755e+00,1.781228141098563533e+00,-8.360518641899828296e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.513962512763837420e+00,1.138073067672368044e+00,1.018968299080054507e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.129856526676202844e+00,6.482141261753637806e+00,-1.793391969366154193e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
