# x,y,z,sp,vx,vy,vz,m
1.147001243425958439e+00,6.515251747727935694e+00,3.600701284479794761e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.138672708579602899e+00,2.007088235576814039e+00,1.823761208046713822e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.606210170123514303e+00,2.294713159833329907e+00,3.642583715641271258e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.625458610086763400e+00,6.231643549702496898e+00,1.796019313475232027e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.376447541467392122e-01,4.268368367980502676e+00,-1.300281114294392186e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.626611660945080917e+00,3.518949780449695270e-03,-4.631310266149726157e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.693365223161835909e+00,7.920552412086180105e+00,4.245260061516589190e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.645961874850402795e+00,6.215036616672040548e-01,1.142877048847332322e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.114586236157303567e+00,3.614515061170094246e+00,4.238060441673130008e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.177224339984948021e+00,6.042801689243013641e+00,2.451076056469404296e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.057536757762285173e+00,3.104985984485948869e+00,6.403805571917821071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.162871734281664793e+00,4.862807060353519617e+00,1.141534943794216828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.076886542968156224e+00,5.402337243951681245e+00,-6.391459263209879893e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.134852850890293752e+00,2.459824509267467096e+00,2.936202480976452645e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.545077534397867769e+00,7.367893919829619165e+00,6.513443261614697555e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.596427547598096019e+00,6.731117054210382200e+00,2.922142779320362926e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.610642120174702541e+00,1.773526451279526350e+00,2.440509397734591523e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
